CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
672026399,12/12/2015,15:00:00,12/26/2015,13:00:00,12/29/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,941706,134807,40.53659567,-74.15305929,(40.536595669 / -74.153059293)
359161279,12/22/2015,18:11:00,12/22/2015,20:00:00,12/23/2015,341,PETIT LARCENY,338,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,925825,134935,40.53685662,-74.21019428,(40.536856621 / -74.210194278)
642268009,12/22/2015,18:00:00,12/22/2015,18:30:00,12/23/2015,341,PETIT LARCENY,338,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,925825,134935,40.53685662,-74.21019428,(40.536856621 / -74.210194278)
433700416,12/27/2015,10:15:00,,,12/27/2015,578,HARRASSMENT 2,638,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,RESIDENCE-HOUSE,,,942904,134951,40.53699659,-74.14875021,(40.536996587 / -74.148750213)
651154739,12/27/2015,5:00:00,,,12/28/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,941744,135216,40.53771848,-74.15292515,(40.537718478 / -74.152925152)
552505809,12/27/2015,5:50:00,12/27/2015,6:05:00,12/27/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE - APT. HOUSE,,,941744,135216,40.53771848,-74.15292515,(40.537718478 / -74.152925152)
130249773,12/26/2015,10:00:00,12/31/2015,8:00:00,12/31/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,RESIDENCE-HOUSE,,,942637,135330,40.53803562,-74.14971312,(40.53803562 / -74.149713116)
987106921,12/24/2015,2:35:00,,,12/24/2015,347,INTOXICATED & IMPAIRED DRIVING,905,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,,STREET,,,918261,135528,40.53843125,-74.23741258,(40.538431245 / -74.237412577)
489675122,12/22/2015,20:45:00,12/23/2015,2:45:00,12/23/2015,359,OFFENSES AGAINST PUBLIC ADMINI,749,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,924688,136373,40.54079609,-74.21429745,(40.540796089 / -74.214297449)
134107093,12/30/2015,18:30:00,12/30/2015,18:35:00,12/30/2015,341,PETIT LARCENY,339,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,929339,136385,40.54085904,-74.19756394,(40.540859038 / -74.197563937)
189795981,12/23/2015,14:40:00,12/23/2015,14:45:00,12/23/2015,578,HARRASSMENT 2,638,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,PUBLIC SCHOOL,,,923688,136627,40.5414865,-74.21789757,(40.541486498 / -74.217897572)
478192487,12/29/2015,21:00:00,,,12/29/2015,341,PETIT LARCENY,339,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,,BUS (NYC TRANSIT),,,923386,137659,40.54431707,-74.21899342,(40.544317067 / -74.218993416)
952381566,12/29/2015,20:31:00,12/29/2015,20:53:00,12/29/2015,341,PETIT LARCENY,339,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,,BUS (NYC TRANSIT),,,923386,137659,40.54431707,-74.21899342,(40.544317067 / -74.218993416)
591362750,12/28/2015,12:00:00,12/28/2015,13:00:00,12/28/2015,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,942589,137619,40.54431826,-74.1498999,(40.544318261 / -74.149899899)
702454807,12/28/2015,17:45:00,,,12/28/2015,341,PETIT LARCENY,333,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,FOOD SUPERMARKET,,,939399,137840,40.54490931,-74.16137913,(40.544909306 / -74.161379125)
325658450,12/28/2015,17:45:00,,,12/28/2015,341,PETIT LARCENY,333,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,FOOD SUPERMARKET,,,939399,137840,40.54490931,-74.16137913,(40.544909306 / -74.161379125)
338671368,12/30/2015,18:15:00,,,12/30/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,RESIDENCE-HOUSE,,,941533,138002,40.5453645,-74.15370185,(40.545364499 / -74.153701852)
300729216,12/28/2015,21:00:00,12/28/2015,21:16:00,12/28/2015,344,ASSAULT 3 & RELATED OFFENSES,113,MENACING UNCLASSIFIED,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,STREET,,,941533,138002,40.5453645,-74.15370185,(40.545364499 / -74.153701852)
973969238,12/30/2015,2:45:00,12/30/2015,3:05:00,12/30/2015,347,INTOXICATED & IMPAIRED DRIVING,905,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,,STREET,,,920184,138085,40.5454638,-74.23051837,(40.545463803 / -74.230518369)
569717685,12/23/2015,15:30:00,12/23/2015,16:00:00,12/23/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,944454,138150,40.54578432,-74.14319267,(40.545784318 / -74.143192667)
915806016,12/27/2015,3:28:00,12/27/2015,3:32:00,12/27/2015,347,INTOXICATED & IMPAIRED DRIVING,905,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,,STREET,,,940098,138332,40.54626326,-74.15886728,(40.546263258 / -74.158867281)
748794045,12/28/2015,15:45:00,,,12/28/2015,578,HARRASSMENT 2,638,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE - APT. HOUSE,,,942013,138356,40.54633846,-74.15197697,(40.54633846 / -74.151976973)
507386799,12/28/2015,10:50:00,12/28/2015,10:54:00,12/28/2015,578,HARRASSMENT 2,638,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,931433,138625,40.54702012,-74.19004751,(40.547020118 / -74.190047512)
840432908,12/25/2015,14:00:00,,,12/25/2015,106,FELONY ASSAULT,109,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,945680,138686,40.54726095,-74.13878442,(40.547260951 / -74.13878442)
105642683,12/30/2015,18:28:00,12/30/2015,18:30:00,12/30/2015,341,PETIT LARCENY,339,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,933451,139343,40.54900268,-74.18279176,(40.549002675 / -74.182791759)
623309360,12/30/2015,19:00:00,,,12/30/2015,341,PETIT LARCENY,321,LARCENY PETIT FROM AUTO,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,STREET,,,939023,139334,40.54900814,-74.16274199,(40.549008137 / -74.16274199)
225778723,12/26/2015,3:05:00,,,12/30/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,939023,139334,40.54900814,-74.16274199,(40.549008137 / -74.16274199)
301333207,12/26/2015,21:15:00,,,12/27/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,930252,139659,40.54985113,-74.19430522,(40.549851133 / -74.194305224)
368669035,12/30/2015,20:45:00,,,12/30/2015,578,HARRASSMENT 2,637,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,944551,140083,40.55109047,-74.14285499,(40.551090465 / -74.142854991)
577618311,12/23/2015,14:15:00,12/24/2015,17:00:00,12/26/2015,341,PETIT LARCENY,349,LARCENY PETIT OF LICENSE PLATE,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,STREET,,,944404,140391,40.55193521,-74.14338577,(40.551935206 / -74.143385772)
781184382,12/28/2015,2:45:00,12/30/2015,23:15:00,12/31/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,934522,140707,40.55275266,-74.17894801,(40.552752659 / -74.178948011)
779106220,12/26/2015,14:00:00,12/26/2015,14:50:00,12/26/2015,578,HARRASSMENT 2,638,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,947426,140760,40.5529611,-74.13251324,(40.552961102 / -74.132513243)
248445640,12/13/2015,17:00:00,12/27/2015,17:00:00,12/29/2015,109,GRAND LARCENY,412,LARCENY GRAND FROM RESIDENCE  UNATTENDED,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,938200,140799,40.55302504,-74.16571336,(40.553025042 / -74.165713361)
602292134,12/25/2015,11:26:00,,,12/25/2015,344,ASSAULT 3 & RELATED OFFENSES,113,MENACING UNCLASSIFIED,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,RESIDENCE-HOUSE,,,938036,141006,40.55359236,-74.16630493,(40.553592363 / -74.166304931)
850284349,12/30/2015,20:30:00,,,12/30/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,946338,141086,40.55385133,-74.13643025,(40.553851325 / -74.136430252)
844042501,12/28/2015,13:00:00,12/28/2015,21:30:00,12/28/2015,107,BURGLARY,221,BURGLARY RESIDENCE DAY,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,937170,141157,40.55400227,-74.16942232,(40.554002273 / -74.16942232)
387220811,12/28/2015,11:00:00,12/28/2015,11:15:00,12/29/2015,344,ASSAULT 3 & RELATED OFFENSES,114,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,933421,141249,40.5542341,-74.18291403,(40.5542341 / -74.182914029)
586526952,12/30/2015,11:00:00,,,12/30/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,936300,142352,40.55727765,-74.17256154,(40.557277653 / -74.172561543)
323746527,12/24/2015,10:00:00,12/30/2015,10:00:00,12/30/2015,341,PETIT LARCENY,349,LARCENY PETIT OF LICENSE PLATE,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,FRONT OF,RESIDENCE-HOUSE,,,929440,142437,40.55747121,-74.19724959,(40.557471214 / -74.197249585)
223842284,12/25/2015,11:45:00,12/25/2015,12:00:00,12/27/2015,578,HARRASSMENT 2,638,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,RESIDENCE-HOUSE,,,938944,142526,40.55776915,-74.16304763,(40.557769151 / -74.163047634)
974076659,12/29/2015,20:30:00,,,12/29/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,950146,142636,40.55812124,-74.12273475,(40.558121236 / -74.122734749)
438267533,12/27/2015,10:30:00,12/27/2015,11:45:00,12/27/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,950652,142805,40.55858704,-74.1209146,(40.55858704 / -74.1209146)
159788915,12/26/2015,19:50:00,12/26/2015,19:58:00,12/26/2015,107,BURGLARY,223,BURGLARY RESIDENCE NIGHT,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,123,INSIDE,RESIDENCE-HOUSE,,,935394,143258,40.5597595,-74.17582855,(40.559759499 / -74.175828548)
643842465,12/15/2015,9:00:00,12/26/2015,15:00:00,12/26/2015,109,GRAND LARCENY,424,LARCENY GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,100,INSIDE,RESIDENCE-HOUSE,,,1009122,143306,40.55999096,-73.91048971,(40.559990963 / -73.910489712)
335030687,12/24/2015,20:30:00,,,12/31/2015,578,HARRASSMENT 2,638,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE - APT. HOUSE,,,953298,143349,40.56008985,-74.11139462,(40.560089845 / -74.111394623)
903276024,12/30/2015,1:10:00,,,12/30/2015,347,INTOXICATED & IMPAIRED DRIVING,905,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,,HIGHWAY/PARKWAY,,,928850,143512,40.56041821,-74.19938165,(40.560418209 / -74.199381653)
233656264,12/27/2015,2:00:00,12/27/2015,2:44:00,12/27/2015,347,INTOXICATED & IMPAIRED DRIVING,905,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,,HIGHWAY/PARKWAY,,,928850,143512,40.56041821,-74.19938165,(40.560418209 / -74.199381653)
665191088,12/30/2015,20:55:00,12/30/2015,21:08:00,12/30/2015,235,DANGEROUS DRUGS,511,CONTROLLED SUBSTANCE  POSSESSI,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,,STREET,,,937062,143738,40.56108604,-74.16982897,(40.561086037 / -74.169828973)
700148047,12/30/2015,18:30:00,,,12/30/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,123,,OPEN AREAS (OPEN LOTS),,,937062,143738,40.56108604,-74.16982897,(40.561086037 / -74.169828973)
153235289,12/27/2015,18:50:00,12/27/2015,19:30:00,12/27/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,RESIDENCE-HOUSE,,,953964,143756,40.56120928,-74.10899958,(40.561209281 / -74.10899958)
460656319,12/27/2015,18:50:00,12/27/2015,19:30:00,12/27/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,RESIDENCE-HOUSE,,,953964,143756,40.56120928,-74.10899958,(40.561209281 / -74.10899958)
375335481,12/28/2015,1:00:00,,,12/28/2015,578,HARRASSMENT 2,637,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,,,948974,143960,40.56175077,-74.12695944,(40.561750773 / -74.126959437)
